 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
345,1,1158.500,971.500,4536,1.128,1.128,0.000,345,1,255
346,1,1295.500,348.500,4536,1.128,1.128,0.000,346,1,255
347,2,703.000,820.500,4536,2.257,1.128,0.000,347,1,255
348,2,1295.500,44.000,4536,2.257,1.128,90.000,348,1,255
349,1,0.500,802.500,4536,1.128,1.128,0.000,349,1,255
350,4,239.250,205.000,4536,63.858,0.080,143.837,350,1,255
351,4,673.750,171.250,4536,66.583,0.076,140.515,351,1,255
352,1,698.500,404.500,4536,1.128,1.128,0.000,352,1,255
353,2,0.500,690.000,4536,2.257,1.128,90.000,353,1,255
354,0,NaN,NaN,4536,NaN,NaN,0.000,354,1,255
355,2,1.000,0.500,4536,2.257,1.128,0.000,355,1,255
356,5,1295.300,272.100,4536,32.309,0.197,90.072,356,1,255
357,0,NaN,NaN,4536,NaN,NaN,0.000,357,1,255
358,1,566.500,855.500,4536,1.128,1.128,0.000,358,1,255
359,0,NaN,NaN,4536,NaN,NaN,0.000,359,1,255
360,0,NaN,NaN,4536,NaN,NaN,0.000,360,1,255
361,4,390.000,789.750,4536,48.676,0.105,174.975,361,1,255
362,5,0.500,196.700,4536,64.953,0.098,90.000,362,1,255
363,2,0.500,393.000,4536,2.257,1.128,90.000,363,1,255
364,2,1290.500,700.500,4536,3.030,0.840,0.000,364,1,255
365,1,406.500,650.500,4536,1.128,1.128,0.000,365,1,255
366,3,227.500,971.500,4536,3.385,1.128,0.000,366,1,255
367,0,NaN,NaN,4536,NaN,NaN,0.000,367,1,255
368,5,822.500,178.500,4536,2.523,2.523,0.000,368,1,255
369,0,NaN,NaN,4536,NaN,NaN,0.000,369,1,255
370,0,NaN,NaN,4536,NaN,NaN,0.000,370,1,255
371,5,18.500,1.700,4536,12.430,0.512,14.769,371,1,255
372,3,0.500,256.500,4536,3.385,1.128,90.000,372,1,255
373,6,228.167,735.667,4536,3.660,2.087,170.361,373,1,255
374,2,1295.500,784.000,4536,2.257,1.128,90.000,374,1,255
375,1,483.500,971.500,4536,1.128,1.128,0.000,375,1,255
376,0,NaN,NaN,4536,NaN,NaN,0.000,376,1,255
377,1,0.500,0.500,4536,1.128,1.128,0.000,377,1,255
378,0,NaN,NaN,4536,NaN,NaN,0.000,378,1,255
379,0,NaN,NaN,4536,NaN,NaN,0.000,379,1,255
380,2,0.500,738.500,4536,18.548,0.137,90.000,380,1,255
381,0,NaN,NaN,4536,NaN,NaN,0.000,381,1,255
382,0,NaN,NaN,4536,NaN,NaN,0.000,382,1,255
383,0,NaN,NaN,4536,NaN,NaN,0.000,383,1,255
384,1,1295.500,537.500,4536,1.128,1.128,0.000,384,1,255
385,5,0.500,230.900,4536,25.643,0.248,90.000,385,1,255
386,1,0.500,340.500,4536,1.128,1.128,0.000,386,1,255
387,3,0.833,5.167,4536,2.365,1.615,135.000,387,1,255
388,1,948.500,451.500,4536,1.128,1.128,0.000,388,1,255
389,1,805.500,93.500,4536,1.128,1.128,90.000,389,1,255
390,6,47.333,718.667,4536,34.377,0.222,45.002,390,1,255
