"sample_ID","start_measurement","start_equilibration","drying_interval","equilibration_interval","psi_1","psi_2","psi","comment","minutes","campaign"
"FASY_02","2024-07-10 19:29:00","2024-07-10 19:00:00",10260,29,"24",NA,24,NA,591,"2"
"FASY_02","2024-07-10 23:37:00","2024-07-10 23:15:00",14880,22,"28",NA,28,NA,839,"2"
"FASY_02","2024-07-11 09:35:00","2024-07-11 09:05:00",35880,30,"27",NA,27,NA,1437,"2"
"FASY_02","2024-07-11 17:33:00","2024-07-11 13:38:00",28680,235,"29",NA,29,NA,1915,"2"
"FASY_02","2024-07-11 18:22:00","2024-07-11 17:49:00",2940,33,"32",NA,32,NA,1964,"2"
"FASY_02","2024-07-12 09:50:00","2024-07-12 09:12:00",55680,38,"36",NA,36,NA,2892,"2"
"FASY_02","2024-07-12 12:40:00","2024-07-12 12:10:00",10200,30,"40",NA,40,NA,3062,"2"
"FASY_02","2024-07-12 15:37:00","2024-07-12 15:05:00",10620,32,"42.5",NA,42.5,NA,3239,"2"
"FASY_02","2024-07-12 17:24:00","2024-07-12 16:58:00",6420,26,"47",NA,47,NA,3346,"2"
"FASY_02","2024-07-12 17:24:00","2024-07-12 19:15:00",NA,-111,"63",NA,63,NA,3346,"2"
"FASY_03","2024-07-10 09:39:00","2024-07-10 09:10:00",NA,29,"3.4",NA,3.4,"cav7",0,"2"
"FASY_03","2024-07-10 10:24:00","2024-07-10 09:55:00",2700,29,"12.5",NA,12.5,NA,45,"2"
"FASY_03","2024-07-10 12:19:00","2024-07-10 11:28:00",6900,51,"14.5",NA,14.5,NA,160,"2"
"FASY_03","2024-07-10 13:02:00","2024-07-10 12:32:00",2580,30,"15.8",NA,15.8,NA,203,"2"
"FASY_03","2024-07-10 14:41:00","2024-07-10 14:12:00",5940,29,"23",NA,23,NA,302,"2"
"FASY_03","2024-07-10 16:40:00","2024-07-10 16:12:00",7140,28,"27",NA,27,NA,421,"2"
"FASY_03","2024-07-10 19:32:00","2024-07-10 19:00:00",10320,32,"37",NA,37,NA,593,"2"
"FASY_03","2024-07-10 23:41:00","2024-07-10 23:15:00",14940,26,"35.5",NA,35.5,NA,842,"2"
"FASY_03","2024-07-11 09:38:00","2024-07-11 09:05:00",35820,33,"36",NA,36,NA,1439,"2"
"FASY_03","2024-07-11 17:37:00","2024-07-11 13:38:00",28740,239,"38",NA,38,NA,1918,"2"
"FASY_03","2024-07-11 18:24:00","2024-07-11 17:49:00",2820,35,"42",NA,42,NA,1965,"2"
"FASY_03","2024-07-12 09:53:00","2024-07-12 09:12:00",55740,41,"50",NA,50,NA,2894,"2"
"FASY_03","2024-07-12 12:44:00","2024-07-12 12:10:00",10260,34,"53",NA,53,NA,3065,"2"
"FASY_03","2024-07-12 15:40:00","2024-07-12 15:05:00",10560,35,"65",NA,65,"59+",3241,"2"
"FASY_04","2024-07-10 09:40:00","2024-07-10 09:10:00",NA,30,"2.1",NA,2.1,"cav19",0,"2"
"FASY_04","2024-07-10 10:26:00","2024-07-10 09:55:00",2760,31,"4",NA,4,NA,46,"2"
"FASY_04","2024-07-10 12:21:00","2024-07-10 11:28:00",6900,53,"12.4",NA,12.4,"16.5",161,"2"
"FASY_04","2024-07-10 13:04:00","2024-07-10 12:32:00",2580,32,"14.6",NA,14.6,NA,204,"2"
"FASY_04","2024-07-10 14:43:00","2024-07-10 14:12:00",5940,31,"18",NA,18,NA,303,"2"
"FASY_04","2024-07-10 16:44:00","2024-07-10 16:12:00",7260,32,"27",NA,27,NA,424,"2"
"FASY_04","2024-07-10 19:35:00","2024-07-10 19:00:00",10260,35,"33.5",NA,33.5,NA,595,"2"
"FASY_04","2024-07-10 23:43:00","2024-07-10 23:15:00",14880,28,"34",NA,34,NA,843,"2"
"FASY_04","2024-07-11 09:40:00","2024-07-11 09:05:00",35820,35,"35",NA,35,NA,1440,"2"
"FASY_04","2024-07-11 17:40:00","2024-07-11 13:38:00",28800,242,"37",NA,37,NA,1920,"2"
"FASY_04","2024-07-11 18:26:00","2024-07-11 17:49:00",2760,37,"41",NA,41,NA,1966,"2"
"FASY_04","2024-07-12 09:57:00","2024-07-12 09:12:00",55860,45,"49",NA,49,NA,2897,"2"
"FASY_04","2024-07-12 12:48:00","2024-07-12 12:10:00",10260,38,"59",NA,59,NA,3068,"2"
"FASY_04","2024-07-12 16:32:00","2024-07-12 15:05:00",13440,87,"61",NA,61,NA,3292,"2"
"FREX_05","2024-07-10 09:48:00","2024-07-10 09:10:00",NA,38,NA,NA,9.3,"time in cavicam is wrong, synchronize with 06
20231127-034531 start time",0,"2"
"FREX_05","2024-07-10 10:28:00","2024-07-10 09:55:00",2400,33,NA,NA,7.1,"cav13",40,"2"
"FREX_05","2024-07-10 12:23:00","2024-07-10 11:28:00",6900,55,NA,NA,15.7,NA,155,"2"
"FREX_05","2024-07-10 13:07:00","2024-07-10 12:32:00",2640,35,NA,NA,20,NA,199,"2"
"FREX_05","2024-07-10 14:46:00","2024-07-10 14:12:00",5940,34,NA,NA,NA,"strong bubbles at 6.3",298,"2"
"FREX_05","2024-07-10 16:47:00","2024-07-10 16:12:00",7260,35,NA,NA,23,"28",419,"2"
"FREX_05","2024-07-10 19:38:00","2024-07-10 19:00:00",10260,38,NA,NA,31,NA,590,"2"
"FREX_05","2024-07-10 23:47:00","2024-07-10 23:15:00",14940,32,NA,NA,33,NA,839,"2"
"FREX_05","2024-07-11 09:42:00","2024-07-11 09:05:00",35700,37,NA,NA,32,NA,1434,"2"
"FREX_05","2024-07-11 17:43:00","2024-07-11 13:38:00",28860,245,NA,NA,33,NA,1915,"2"
"FREX_05","2024-07-11 18:30:00","2024-07-11 17:49:00",2820,41,NA,NA,33.5,NA,1962,"2"
"FREX_05","2024-07-12 10:00:00","2024-07-12 09:12:00",55800,48,NA,NA,36.5,NA,2892,"2"
"FREX_05","2024-07-12 12:52:00","2024-07-12 12:10:00",10320,42,NA,NA,36.5,NA,3064,"2"
"FREX_05","2024-07-12 15:50:00","2024-07-12 15:05:00",10680,45,NA,NA,39,NA,3242,"2"
"FREX_05","2024-07-12 17:29:00","2024-07-12 16:58:00",5940,31,NA,NA,41,NA,3341,"2"
"FREX_05","2024-07-12 19:44:00","2024-07-12 19:15:00",8100,29,NA,NA,39,NA,3476,"2"
"FREX_06","2024-07-13 17:43:00","2024-07-13 17:20:00",79140,23,NA,NA,54.5,NA,4797,"2"
"FREX_06","2024-07-10 09:46:00","2024-07-10 09:10:00",NA,36,"18.3",NA,18.3,"8.1",0,"2"
"FREX_06","2024-07-10 10:30:00","2024-07-10 09:55:00",2640,35,"23",NA,23,"cav17",44,"2"
"FREX_06","2024-07-10 12:25:00","2024-07-10 11:28:00",6900,57,"26",NA,26,NA,159,"2"
"FREX_06","2024-07-10 13:10:00","2024-07-10 12:32:00",2700,38,"28",NA,28,NA,204,"2"
"FREX_06","2024-07-10 14:50:00","2024-07-10 14:12:00",6000,38,"29",NA,29,NA,304,"2"
"FREX_06","2024-07-10 16:50:00","2024-07-10 16:12:00",7200,38,"31",NA,31,"33",424,"2"
"FREX_06","2024-07-10 19:41:00","2024-07-10 19:00:00",10260,41,"38",NA,38,NA,595,"2"
"FREX_06","2024-07-10 23:50:00","2024-07-10 23:15:00",14940,35,"39",NA,39,NA,844,"2"
"FREX_06","2024-07-11 09:44:00","2024-07-11 09:05:00",35640,39,"39",NA,39,NA,1438,"2"
"FREX_06","2024-07-11 17:47:00","2024-07-11 13:38:00",28980,249,"41",NA,41,NA,1921,"2"
"FREX_06","2024-07-11 18:33:00","2024-07-11 17:49:00",2760,44,"43",NA,43,NA,1967,"2"
"FREX_06","2024-07-12 10:03:00","2024-07-12 09:12:00",55800,51,"46.5",NA,46.5,NA,2897,"2"
"FREX_06","2024-07-12 12:58:00","2024-07-12 12:10:00",10500,48,"48.5",NA,48.5,NA,3072,"2"
"FREX_06","2024-07-12 15:58:00","2024-07-12 15:05:00",10800,53,"52",NA,52,NA,3252,"2"
"FREX_06","2024-07-12 17:33:00","2024-07-12 16:58:00",5700,35,"51",NA,51,NA,3347,"2"
"FREX_06","2024-07-12 19:50:00","2024-07-12 19:15:00",8220,35,"58",NA,58,NA,3484,"2"
"FREX_06","2024-07-13 17:43:00","2024-07-13 17:20:00",78780,23,"66",NA,66,NA,4797,"2"
