"campaign","species","sample_id","year","sugar_name","date","sugar_conc"
3,"FASY","FASY_02","2023","sucrose_mg_g",2023-08-08,26.7591535102452
3,"FASY","FASY_02","2023","sucrose_ppm",2023-08-08,21.2432
3,"FASY","FASY_02","2023","sugar_weight_mg",2023-08-08,29.77
3,"FASY","FASY_02","2023","total_sugars_mg_g",2023-08-08,93.698354047699
3,"FASY","FASY_03","2023","fructose_mg_g",2023-08-08,19.3532765820752
3,"FASY","FASY_03","2023","fructose_ppm",2023-08-08,8.0329
3,"FASY","FASY_03","2023","glucose_mg_g",2023-08-08,20.7320912303244
3,"FASY","FASY_03","2023","glucose_ppm",2023-08-08,8.6052
3,"FASY","FASY_03","2023","glucose_starch_1",2023-08-08,53.8526
3,"FASY","FASY_03","2023","starch_mg_g",2023-08-08,37.3664041117893
3,"FASY","FASY_03","2023","sucrose_mg_g",2023-08-08,67.0839222614841
3,"FASY","FASY_03","2023","sucrose_ppm",2023-08-08,27.8443
3,"FASY","FASY_03","2023","sugar_weight_mg",2023-08-08,31.13
3,"FASY","FASY_03","2023","total_sugars_mg_g",2023-08-08,107.169290073884
3,"FASY","FASY_04","2023","fructose_mg_g",2023-08-08,16.7383990719258
3,"FASY","FASY_04","2023","fructose_ppm",2023-08-08,13.4666
3,"FASY","FASY_04","2023","glucose_mg_g",2023-08-08,18.9646586012595
3,"FASY","FASY_04","2023","glucose_ppm",2023-08-08,15.2577
3,"FASY","FASY_04","2023","glucose_starch_1",2023-08-08,84.124997287241
3,"FASY","FASY_04","2023","starch_mg_g",2023-08-08,60.2287020684258
3,"FASY","FASY_04","2023","sucrose_mg_g",2023-08-08,48.060407689758
3,"FASY","FASY_04","2023","sucrose_ppm",2023-08-08,38.6662
3,"FASY","FASY_04","2023","sugar_weight_mg",2023-08-08,30.17
3,"FASY","FASY_04","2023","total_sugars_mg_g",2023-08-08,83.7634653629433
3,"FREX","FREX_05","2023","fructose_mg_g",2023-08-08,3.99361226445225
3,"FREX","FREX_05","2023","fructose_ppm",2023-08-08,3.3344
3,"FREX","FREX_05","2023","glucose_mg_g",2023-08-08,19.1495528585117
3,"FREX","FREX_05","2023","glucose_ppm",2023-08-08,15.9886
3,"FREX","FREX_05","2023","glucose_starch_1",2023-08-08,43.5037
3,"FREX","FREX_05","2023","starch_mg_g",2023-08-08,30.0121341424465
3,"FREX","FREX_05","2023","sucrose_mg_g",2023-08-08,10.6127036090706
3,"FREX","FREX_05","2023","sucrose_ppm",2023-08-08,8.8609
3,"FREX","FREX_05","2023","sugar_weight_mg",2023-08-08,31.31
3,"FREX","FREX_05","2023","total_sugars_mg_g",2023-08-08,33.7558687320345
3,"FREX","FREX_06","2023","fructose_mg_g",2023-08-08,7.2453038222803
3,"FREX","FREX_06","2023","fructose_ppm",2023-08-08,5.9141
3,"FREX","FREX_06","2023","glucose_mg_g",2023-08-08,23.0790999673309
3,"FREX","FREX_06","2023","glucose_ppm",2023-08-08,18.8387
3,"FREX","FREX_06","2023","glucose_starch_1",2023-08-08,61.936118138596
3,"FREX","FREX_06","2023","starch_mg_g",2023-08-08,43.7053300161278
3,"FREX","FREX_06","2023","sucrose_mg_g",2023-08-08,16.7853234237177
3,"FREX","FREX_06","2023","sucrose_ppm",2023-08-08,13.7013
3,"FREX","FREX_06","2023","sugar_weight_mg",2023-08-08,30.61
3,"FREX","FREX_06","2023","total_sugars_mg_g",2023-08-08,47.109727213329
3,"FREX","FREX_07","2023","fructose_mg_g",2023-08-08,15.57810028472
3,"FREX","FREX_07","2023","fructose_ppm",2023-08-08,13.1313
3,"FREX","FREX_07","2023","glucose_mg_g",2023-08-08,22.0915453970263
3,"FREX","FREX_07","2023","glucose_ppm",2023-08-08,18.6217
3,"FREX","FREX_07","2023","glucose_starch_1",2023-08-08,40.0977
3,"FREX","FREX_07","2023","starch_mg_g",2023-08-08,27.3998835811452
3,"FREX","FREX_07","2023","sucrose_mg_g",2023-08-08,20.4096804808605
3,"FREX","FREX_07","2023","sucrose_ppm",2023-08-08,17.204
3,"FREX","FREX_07","2023","sugar_weight_mg",2023-08-08,31.61
3,"FREX","FREX_07","2023","total_sugars_mg_g",2023-08-08,58.0793261626068
3,"FREX","FREX_08","2023","fructose_mg_g",2023-08-08,10.9790154622909
3,"FREX","FREX_08","2023","fructose_ppm",2023-08-08,9.278
3,"FREX","FREX_08","2023","glucose_mg_g",2023-08-08,18.4533370148312
3,"FREX","FREX_08","2023","glucose_ppm",2023-08-08,15.5943
3,"FREX","FREX_08","2023","glucose_starch_1",2023-08-08,46.326
3,"FREX","FREX_08","2023","starch_mg_g",2023-08-08,31.5759419375197
3,"FREX","FREX_08","2023","sucrose_mg_g",2023-08-08,15.4090801514673
3,"FREX","FREX_08","2023","sucrose_ppm",2023-08-08,13.0217
3,"FREX","FREX_08","2023","sugar_weight_mg",2023-08-08,31.69
3,"FREX","FREX_08","2023","total_sugars_mg_g",2023-08-08,44.8414326285895
4,"FASY","FASY_01","2023","fructose_mg_g",2023-09-18,17.1960548172757
4,"FASY","FASY_01","2023","fructose_ppm",2023-09-18,13.8027
4,"FASY","FASY_01","2023","glucose_mg_g",2023-09-18,18.6341362126246
4,"FASY","FASY_01","2023","glucose_ppm",2023-09-18,14.957
4,"FASY","FASY_01","2023","glucose_starch_1",2023-09-18,5.1422
4,"FASY","FASY_01","2023","starch_mg_g",2023-09-18,5.1422
4,"FASY","FASY_01","2023","sucrose_mg_g",2023-09-18,27.1328073089701
4,"FASY","FASY_01","2023","sucrose_ppm",2023-09-18,21.7786
4,"FASY","FASY_01","2023","sugar_weight_mg",2023-09-18,30.1
4,"FASY","FASY_01","2023","total_sugars_mg_g",2023-09-18,62.9629983388704
4,"FASY","FASY_02","2023","fructose_mg_g",2023-09-18,23.6933753943218
4,"FASY","FASY_02","2023","fructose_ppm",2023-09-18,20.0288
4,"FASY","FASY_02","2023","glucose_mg_g",2023-09-18,27.7152208201893
4,"FASY","FASY_02","2023","glucose_ppm",2023-09-18,23.4286
4,"FASY","FASY_02","2023","glucose_starch_1",2023-09-18,40.9436
4,"FASY","FASY_02","2023","starch_mg_g",2023-09-18,27.8984782334385
4,"FASY","FASY_02","2023","sucrose_mg_g",2023-09-18,34.372594637224
4,"FASY","FASY_02","2023","sucrose_ppm",2023-09-18,29.0563
4,"FASY","FASY_02","2023","sugar_weight_mg",2023-09-18,31.7
4,"FASY","FASY_02","2023","total_sugars_mg_g",2023-09-18,85.781190851735
4,"FASY","FASY_03","2023","fructose_mg_g",2023-09-18,22.18596
4,"FASY","FASY_03","2023","fructose_ppm",2023-09-18,18.4883
4,"FASY","FASY_03","2023","glucose_mg_g",2023-09-18,31.0014
4,"FASY","FASY_03","2023","glucose_ppm",2023-09-18,25.8345
4,"FASY","FASY_03","2023","glucose_starch_1",2023-09-18,31.5535
4,"FASY","FASY_03","2023","starch_mg_g",2023-09-18,10.9048896
4,"FASY","FASY_03","2023","sucrose_mg_g",2023-09-18,46.86924
4,"FASY","FASY_03","2023","sucrose_ppm",2023-09-18,39.0577
4,"FASY","FASY_03","2023","sugar_weight_mg",2023-09-18,31.25
