"year","campaign","sample_id","vessel_order","species","rmse_fitplc","rmse_spline","p12_fitplc","p50_fitplc","p88_fitplc","p12_lwr","p50_lwr","p88_lwr","p12_upr","p50_upr","p88_upr","p12_spline","p50_spline","p88_spline","date","date_plot"
"2023","3","FASY_04","all","FASY",264.6298436636,4.25730992497533,-3.07803961628435,-4.03110199571077,-4.98396962974174,-3.03300136680166,-3.99814486568371,-4.95267316092313,-3.12193620115927,-4.05977112438501,-5.01401398655075,-3.13495667987926,-4.01106118772115,-4.88719823114689,"2023-08-09",2000-08-09
"2023","3","FASY_04","major","FASY",291.750032613145,2.96634078662022,-1.50432401792504,-2.85667823472287,-4.2090518830157,-1.32378185827085,-2.74439314745544,-4.16521331585912,-1.63094426646357,-2.92475216278528,-4.25658876874019,-1.95513467567675,-2.68581985968724,-4.22065109943758,"2023-08-09",2000-08-09
"2023","3","FREX_07","all","FREX",172.901575086153,1.2960969442005,-3.09920818658916,-4.1882744482921,-5.27708098107676,-2.97645525889691,-4.15257277128184,-5.2067034519267,-3.1929709730178,-4.2197889326942,-5.37003190994286,-3.5625736139917,-4.10700982774189,-5.39172782781803,"2023-08-09",2000-08-09
"2023","3","FREX_07","major","FREX",315.999494338071,1.53633800403274,-1.64688137435468,-2.93152974431729,-4.21642512436642,-1.38922906156785,-2.79288333718626,-4.17632145961277,-1.84215000924595,-3.04458867116078,-4.26412199827553,-3.55126299315299,-3.57952909769582,-3.89150145334455,"2023-08-09",2000-08-09
"2023","4","FASY_01","all","FASY",395.943448506837,3.15025836942786,-2.9815435139959,-3.82740380063624,-4.67330966591071,-2.94747020711641,-3.76810065272417,-4.58365671633639,-3.02695763719094,-3.89468575444587,-4.77180037222549,-3.36204841700233,-4.25496271662594,-4.58559254764615,"2023-09-18",2000-09-18
"2023","4","FASY_01","major","FASY",393.407888231823,4.92676700755842,-2.38765597367685,-2.9876556928975,-3.58772109761147,-2.3543570946977,-2.95652212341789,-3.55726603505791,-2.43004659312268,-3.02327047644787,-3.63310001243539,-2.29283192828293,-2.82397030511239,-4.12131804106018,"2023-09-18",2000-09-18
"2023","4","FASY_03","all","FASY",269.02981858058,2.14393475028966,-3.77981872024183,-4.40335136140469,-5.02717152950512,-3.76320073567372,-4.37400843945432,-4.98279262396298,-3.79629775575385,-4.43488134083172,-5.07944522602009,-3.91424673090752,-4.49082159674448,-5.05189661183384,"2023-09-18",2000-09-18
"2023","4","FASY_03","major","FASY",188.041926539909,2.26353463124092,-2.91391419195581,-3.84330087439459,-4.77267605946216,-2.87289258231226,-3.81665752645204,-4.699445033805,-2.95724827083544,-3.87339706372492,-4.85093112723025,-2.95989761587522,-4.02667755981104,-4.86639626466023,"2023-09-18",2000-09-18
"2023","4","FASY_04","all","FASY",265.900045556572,2.72898721549824,-2.79666981066151,-3.47308969496513,-4.14958870376485,-2.75409640982478,-3.45424946421675,-4.11996558369718,-2.85447704390826,-3.50152697827808,-4.17993467172921,-2.7984622540152,-3.49921520078295,-4.20000177512009,"2023-09-18",2000-09-18
"2023","4","FASY_04","major","FASY",488.208323713729,2.71695257576069,-2.16858664372822,-2.75046800471558,-3.33255261656332,-1.97218722267966,-2.62765385327768,-3.26354785781724,-2.36511144305739,-2.88890229952544,-3.40506171104992,-2.60706203624377,-2.65800950734331,-2.89573257563104,"2023-09-18",2000-09-18
"2023","4","FREX_05","all","FREX",253.21995414177,4.58169308247821,-4.0198440067477,-4.76449271594739,-5.50885410708217,-3.87063585409107,-4.69027173537155,-5.45202464585554,-4.14993128291053,-4.84464688863419,-5.57294790961403,-3.9325907575783,-4.61582599473939,-5.6168191021667,"2023-09-18",2000-09-18
"2023","4","FREX_05","major","FREX",326.806845825808,3.05429460709613,-3.80194629130704,-4.48580851098125,-5.17049167599816,-3.66250605026643,-4.40137849623693,-5.1289951817116,-3.93410934193853,-4.56270237525896,-5.20575392007897,-3.83708460817059,-4.22829778804763,-5.10523001572372,"2023-09-18",2000-09-18
