year,campaign,sample_id,date,rwc_class,rwc_interval,gmin_mean,gmin_min,gmin_max
2024,1,FREX_05,28.05.2024,rwc_class_70_80,70-80,1.675418329,1.681879134,1.668957524
2024,1,FREX_05,28.05.2024,rwc_class_65_70,65-70,1.498732057,1.49888285,1.498581264
2024,1,FREX_06,28.05.2024,rwc_class_90,90+,2.303119947,2.364586829,2.241653066
2024,1,FREX_06,28.05.2024,rwc_class_80_90,80-90,1.36365542,1.36766699,1.359643851
2024,1,FREX_06,28.05.2024,rwc_class_standard,standard,1.212292251,1.214683491,1.20990101
2024,1,FREX_06,28.05.2024,rwc_class_70_80,70-80,1.164437831,1.16465934,1.164216322
2024,1,FREX_06,28.05.2024,rwc_class_65_70,65-70,1.162095885,1.162095885,1.162095885
2024,1,FREX_06,28.05.2024,rwc_class_tlp,rwc_tlp_90,1.162095885,1.162095885,1.162095885
2024,1,FREX_07,28.05.2024,rwc_class_90,90+,6.34287739,6.466804244,6.218950537
2024,1,FREX_07,28.05.2024,rwc_class_80_90,80-90,3.551102932,3.57055179,3.531654075
2024,1,FREX_07,28.05.2024,rwc_class_standard,standard,2.575843912,2.596572294,2.55511553
2024,1,FREX_07,28.05.2024,rwc_class_tlp,rwc_tlp_90,2.457061026,2.47516244,2.438959613
2024,1,FREX_07,28.05.2024,rwc_class_70_80,70-80,2.476712817,2.488570217,2.464855417
2024,1,FREX_07,28.05.2024,rwc_class_65_70,65-70,1.902943147,1.906304493,1.899581802
2024,1,FREX_08,28.05.2024,rwc_class_90,90+,3.531659946,3.564331664,3.498988228
2024,1,FREX_08,28.05.2024,rwc_class_80_90,80-90,2.445249802,2.450628306,2.439871297
2024,1,FREX_08,28.05.2024,rwc_class_standard,standard,2.240907598,2.245669962,2.236145234
2024,1,FREX_08,28.05.2024,rwc_class_70_80,70-80,2.173069236,2.175628418,2.170510054
2024,1,FREX_08,28.05.2024,rwc_class_tlp,rwc_tlp_90,2.135998814,2.137459494,2.134538135
2024,1,FREX_08,28.05.2024,rwc_class_65_70,65-70,2.113059221,2.113060487,2.113057955
2024,1,FASY_01,28.05.2024,rwc_class_90,90+,8.056303443,8.061667276,8.05093961
2024,1,FASY_01,28.05.2024,rwc_class_tlp,rwc_tlp_90,7.441229126,7.462581351,7.419876901
2024,1,FASY_01,28.05.2024,rwc_class_80_90,80-90,7.746701293,7.758245684,7.735156901
2024,1,FASY_01,28.05.2024,rwc_class_standard,standard,7.360391132,7.38097033,7.339811934
2024,1,FASY_01,28.05.2024,rwc_class_70_80,70-80,7.257717089,7.271232881,7.244201296
2024,1,FASY_01,28.05.2024,rwc_class_65_70,65-70,6.851308643,6.861135462,6.841481824
