year,campaign,date,sample_id,species,rmse_fitplc,p12_fitplc,p50_fitplc,p88_fitplc,p12_lwr,p50_lwr,p88_lwr,p12_upr,p50_upr,p88_upr,rmse_spline,p12_spline,p50_spline,p88_spline,,date_plot,vessel_order
2024,3,13.08.2024,FASY_04,FASY,1.713637566,-3.529889272,-3.981191479,-4.310929153,-3.502179997,-3.970136413,-4.297098438,-3.550020695,-3.989447321,-4.321102277,1.458590997,-3.553474252,-3.966939009,-4.316206294,,13.08.2000,all
2024,3,13.08.2024,FASY_04,FASY,5.331616347,-2.837676307,-3.722860643,-4.45513988,-2.744516973,-3.680172545,-4.429386153,-2.905889119,-3.758289178,-4.484442462,2.482949183,-2.086604317,-3.831138989,-4.343744666,,13.08.2000,major
2024,3,13.08.2024,FREX_05,FREX,5.454052467,-3.161735626,-5.374631804,-7.633845344,-3.120430874,-5.345564471,-7.568338405,-3.199213628,-5.403844956,-7.696895001,2.58204671,-3.643054733,-5.02732013,-7.95766675,,13.08.2000,all
2024,3,13.08.2024,FREX_05,FREX,9.383501612,-2.939411654,-4.215563806,-5.350850875,-2.827265385,-4.160728274,-5.12436934,-3.047565022,-4.260348581,-5.514080946,4.702685325,-3.454569911,-4.064222317,-6.501476261,,13.08.2000,major
2024,3,13.08.2024,FREX_06,FREX,3.792029142,-3.862747744,-4.951201537,-5.83466016,-3.812155211,-4.911737692,-5.70130637,-3.921705465,-4.989582125,-5.933310762,3.478357891,-4.052481423,-4.913111627,-5.840501511,,13.08.2000,all
2024,3,13.08.2024,FREX_06,FREX,6.276194576,-3.618295374,-4.267422279,-4.759489273,-3.53727226,-4.226022246,-4.688250253,-3.706007078,-4.305270719,-4.800068551,4.146206555,-3.803880208,-4.187069322,-4.977240649,,13.08.2000,major
2024,3,13.08.2024,FREX_07,FREX,4.863308045,-3.32401859,-4.186412782,-4.876374234,-3.278342544,-4.173410831,-4.848613606,-3.361437809,-4.197947826,-4.907600212,2.996068036,-3.627109232,-4.118995471,-4.97234474,,13.08.2000,all
2024,3,13.08.2024,FREX_07,FREX,9.073920014,-3.340535915,-3.753515113,-4.054319631,-3.214446661,-3.716318962,-3.994833906,-3.420309291,-3.792200985,-4.115358851,2.867425489,-3.612488277,-3.695181009,-4.381199576,,13.08.2000,major
2024,3,13.08.2024,FREX_08,FREX,4.468051038,-2.815438855,-4.381768039,-5.870842878,-2.764996041,-4.35737058,-5.800275863,-2.861211137,-4.401666904,-5.942221178,2.382472524,-3.135138081,-4.200754846,-6.15886822,,13.08.2000,all
2024,3,13.08.2024,FREX_08,FREX,9.482974492,-2.561303132,-3.399272323,-4.099063773,-2.446356641,-3.344985854,-3.875833185,-2.679592004,-3.46697194,-4.298285698,2.641462824,-2.907162886,-3.197393517,-4.930458185,,13.08.2000,major
2024,4,23.09.2024,FASY_01,FASY,1.562517685,-3.982556802,-4.725359928,-5.291230319,-3.962185863,-4.715793225,-5.279746697,-3.997908846,-4.731892107,-5.30438571,2.14345252,-3.96200289,-4.676350707,-5.305402939,,23.09.2000,all
2024,4,23.09.2024,FASY_01,FASY,5.684954949,-2.632537832,-3.311644085,-3.854442952,-2.555640532,-3.236680146,-3.65956053,-2.745682649,-3.362570248,-3.970142726,3.721026359,-2.820671606,-3.266647121,-4.069653269,,23.09.2000,major
2024,4,23.09.2024,FASY_02,FASY,3.021276077,-3.927829929,-4.243971968,-4.466914159,-3.887071757,-4.224208121,-4.412561508,-3.973931529,-4.270831799,-4.511239844,2.653550914,-3.931883687,-4.259142996,-4.586451087,,23.09.2000,all
2024,4,23.09.2024,FASY_02,FASY,2.141499957,-3.90740527,-4.116489111,-4.260880673,-3.879785899,-4.103875172,-4.245762062,-3.924524711,-4.126827909,-4.283756838,3.073714894,-3.82520335,-4.106105661,-4.386994696,,23.09.2000,major
2024,4,23.09.2024,FASY_03,FASY,3.352452692,-4.245112859,-4.451542015,-4.593552815,-4.212065263,-4.439455602,-4.567744458,-4.269642586,-4.467754144,-4.633200641,2.551343819,-4.242467313,-4.454761512,-4.729506591,,23.09.2000,all
2024,4,23.09.2024,FASY_03,FASY,2.017235345,-4.055085486,-4.305878332,-4.480207924,-4.027266854,-4.295995908,-4.470670461,-4.082003195,-4.315679205,-4.497350409,2.379795609,-4.044641315,-4.293433841,-4.542317438,,23.09.2000,major
2024,4,23.09.2024,FASY_04,FASY,2.130177197,-3.318010643,-4.28912084,-5.082818474,-3.282906638,-4.269164018,-5.05631411,-3.349548119,-4.306706655,-5.108301631,1.897054596,-3.521213268,-4.290266105,-5.059333502,,23.09.2000,all
2024,4,23.09.2024,FASY_04,FASY,3.470830846,-2.761178562,-4.002876666,-5.117245138,-2.684431895,-3.964872865,-5.09181147,-2.846870384,-4.043079751,-5.142748992,2.794590343,-3.023204146,-3.924492126,-5.117557091,,23.09.2000,major
2024,4,23.09.2024,FREX_05,FREX,4.003672581,-5.251708813,-7.132273028,-8.732566727,-5.160925117,-7.078189532,-8.614952458,-5.351568277,-7.177306507,-8.846463984,3.043283158,-5.541486497,-7.160631907,-8.900743593,,23.09.2000,all
2024,4,23.09.2024,FREX_05,FREX,5.697088772,-3.695873209,-6.105760106,-8.51006899,-3.541837821,-6.00451555,-8.330703292,-3.836647705,-6.183014374,-8.671991434,5.032486878,-4.154119538,-5.982335351,-8.802569819,,23.09.2000,major
2024,4,23.09.2024,FREX_06,FREX,5.076570799,-4.724664152,-6.03869207,-7.102744903,-4.563959108,-5.970549226,-7.0511073,-4.876414982,-6.08767001,-7.203371864,2.517315282,-3.821857097,-6.086184741,-6.979991205,,23.09.2000,all
2024,4,23.09.2024,FREX_06,FREX,3.110110037,-3.474993433,-5.094007896,-6.56019357,-3.325855908,-5.019139572,-6.504016894,-3.604111628,-5.160076415,-6.613487588,3.399659189,-3.576319311,-5.021437384,-6.466528495,,23.09.2000,major
2024,4,23.09.2024,FREX_07,FREX,2.805542849,-3.74794107,-5.152702073,-6.360102735,-3.705175185,-5.113515425,-6.300092402,-3.802111275,-5.186227372,-6.432668716,2.932267408,-3.832677193,-5.098204309,-6.36373147,,23.09.2000,all
2024,4,23.09.2024,FREX_07,FREX,5.759286489,-2.742108632,-4.050098273,-5.241900447,-2.623202235,-3.965026284,-5.125346373,-2.870397949,-4.125688082,-5.349681437,5.613493817,-2.92487799,-4.065593076,-5.206292893,,23.09.2000,major
2024,4,23.09.2024,FREX_08,FREX,4.343487387,-4.638143482,-6.157865855,-7.427376945,-4.563032725,-6.111954841,-7.363647453,-4.712940133,-6.201649569,-7.498837397,3.281801368,-4.915173184,-6.126192046,-7.533958649,,23.09.2000,all
2024,4,23.09.2024,FREX_08,FREX,4.312056087,-4.149567357,-5.484352353,-6.595260959,-4.052458087,-5.429510878,-6.469045325,-4.235023154,-5.553055665,-6.738672335,3.867493091,-4.176271151,-5.485671213,-6.795086942,,23.09.2000,major
